sintomas,enfermedad
"El paciente experimenta alucinaciones visuales y auditivas, además de pensamientos confusos y aislamiento social",Esquizofrenia
"El paciente presenta delirios visuales y auditivos, y evita el contacto social",Esquizofrenia
"El paciente tiene dificultades para distinguir lo real de lo imaginario, junto con aislamiento",Esquizofrenia
"El paciente presenta pensamientos desorganizados, y se muestra desconectado de la realidad",Esquizofrenia
"Dolor en el pecho, falta de aire y sudoración excesiva, especialmente durante el esfuerzo físico",Infarto
"El paciente experimenta opresión en el pecho, sudoración y dificultad para respirar",Infarto
"El paciente tiene dolor en el pecho, dificultad para respirar y una sensación de presión",Infarto
El paciente experimenta un dolor torácico agudo con dificultad para respirar y sudoración,Infarto
Tos persistente con sangre en el esputo y dificultad respiratoria,Cáncer de pulmón
"El paciente tiene tos crónica, sangre al toser y dificultad para respirar",Cáncer de pulmón
El paciente presenta tos con esputo sanguinolento y dificultad al respirar,Cáncer de pulmón
"El paciente muestra síntomas de tos prolongada, sangre en la flema y dificultad para respirar",Cáncer de pulmón
"Falta de interés en actividades cotidianas, cansancio extremo y un sentimiento de tristeza profunda",Depresión mayor
"El paciente se siente agotado, no encuentra placer en actividades diarias y muestra una tristeza constante",Depresión mayor
"El paciente presenta una tristeza persistente, pérdida de interés en lo que antes le gustaba y fatiga extrema",Depresión mayor
"El paciente muestra síntomas de cansancio, desinterés por actividades diarias y tristeza constante",Depresión mayor
"Dolor de cabeza severo acompañado de náuseas, sensibilidad extrema a la luz y sonido",Migraña
"El paciente tiene migrañas intensas, que se acompañan de náuseas y sensibilidad a la luz",Migraña
El paciente presenta dolores de cabeza intensos con malestar en los ojos y náuseas,Migraña
El paciente experimenta dolor de cabeza pulsátil con náuseas y dificultad para tolerar la luz,Migraña
"Excesiva sed, orina frecuente y sensación de cansancio generalizado",Diabetes tipo 2
"El paciente tiene sed constante, orina con frecuencia y se siente fatigado todo el tiempo",Diabetes tipo 2
"El paciente presenta una sed insaciable, orina en exceso y experimenta cansancio general",Diabetes tipo 2
"El paciente muestra una necesidad constante de beber agua, orina frecuentemente y está fatigado",Diabetes tipo 2
"Fatiga, aumento de peso, piel seca y frío",Hipotiroidismo
"El paciente tiene cansancio extremo, aumento de peso y su piel se siente seca y fría",Hipotiroidismo
"El paciente experimenta fatiga persistente, aumento de peso y piel seca",Hipotiroidismo
"El paciente tiene síntomas de cansancio, piel seca y aumento de peso",Hipotiroidismo
"El paciente presenta pérdida de memoria reciente, desorientación y confusión en las tareas diarias",Enfermedad de Alzheimer
"El paciente tiene problemas de memoria a corto plazo, desorientación y dificultad para El paciente muestra fiebre, erupciones rojas en la piel y dolor de gargantahacer tareas simples",Enfermedad de Alzheimer
"El paciente experimenta pérdida de memoria reciente, confusión y dificultad para realizar actividades cotidianas",Enfermedad de Alzheimer
"El paciente presenta problemas para recordar cosas recientes, se desorienta fácilmente y tiene dificultades en las actividades diarias",Enfermedad de Alzheimer
"El paciente tiene dificultad para respirar, sibilancias y tos nocturna",Asma
"El paciente presenta tos crónica, sibilancias y dificultad para respirar durante la noche",Asma
"El paciente muestra síntomas de dificultad respiratoria, sibilancias y tos que empeora por la noche",Asma
"El paciente tiene dificultad para respirar, acompañado de sibilancias y tos nocturna",Asma
"Fiebre alta, dolores musculares, fatiga extrema y tos seca",Gripe
"El paciente presenta fiebre alta, dolor corporal, cansancio extremo y tos persistente",Gripe
"El paciente experimenta fiebre, dolores musculares, fatiga y tos seca",Gripe
"El paciente tiene fiebre, dolor en el cuerpo, fatiga y una tos que no cede",Gripe
"Dolor e inflamación en las articulaciones, especialmente en las manos y muñecas, que empeora por la mañana",Artritis reumatoide
"El paciente presenta dolor e hinchazón en las articulaciones, especialmente al despertar",Artritis reumatoide
El paciente tiene inflamación y dolor en las manos y muñecas por la mañana,Artritis reumatoide
"El paciente experimenta dolor en las articulaciones, especialmente en las manos y muñecas al levantarse por la mañana",Artritis reumatoide
"Presencia de un bulto en el seno, dolor o cambio en la textura de la piel",Cáncer de mama
El paciente detecta un bulto en el seno acompañado de dolor y cambios en la piel,Cáncer de mama
"El paciente presenta un bulto en el seno, acompañado de dolor y alteraciones en la piel",Cáncer de mama
El paciente muestra un bulto en el seno que causa dolor y cambios en la piel,Cáncer de mama
"Pérdida repentina de la capacidad para hablar, debilidad en un lado del cuerpo y dificultad para caminar",Accidente cerebrovascular (ACV)
"El paciente sufre una pérdida repentina del habla, debilidad en un lado del cuerpo y problemas para caminar",Accidente cerebrovascular (ACV)
"El paciente tiene dificultad para hablar de repente, debilidad en un lado del cuerpo y problemas de coordinación al caminar",Accidente cerebrovascular (ACV)
"El paciente presenta dificultades para hablar, debilidad en un lado del cuerpo y dificultad para caminar",Accidente cerebrovascular (ACV)
"Dolor abdominal crónico, diarrea y pérdida de peso inexplicada tras consumir gluten",Enfermedad celíaca
"El paciente tiene dolor abdominal frecuente, diarrea crónica y pérdida de peso después de consumir gluten",Enfermedad celíaca
"El paciente presenta dolor abdominal, diarrea y pérdida de peso cuando consume gluten",Enfermedad celíaca
"El paciente muestra dolor abdominal persistente, diarrea y pérdida de peso tras la ingestión de gluten",Enfermedad celíaca
"Dolores de cabeza frecuentes, mareos y fatiga",Hipertensión arterial
"El paciente tiene dolores de cabeza, mareos y una sensación constante de cansancio",Hipertensión arterial
"El paciente presenta dolores de cabeza frecuentes, mareos y fatiga general",Hipertensión arterial
"El paciente experimenta dolores de cabeza, mareos y cansancio persistente",Hipertensión arterial
"Edema en las piernas, fatiga y dificultad para orinar",Insuficiencia renal crónica
"El paciente presenta hinchazón en las piernas, cansancio extremo y problemas para orinar",Insuficiencia renal crónica
"El paciente tiene retención de líquidos en las piernas, fatiga y dificultad al orinar",Insuficiencia renal crónica
"El paciente muestra hinchazón en las piernas, falta de energía y problemas para orinar",Insuficiencia renal crónica
"Color amarillento en la piel y los ojos, fatiga y pérdida de apetito",Hepatitis
"El paciente presenta ictericia (color amarillento) en la piel y los ojos, junto con cansancio y pérdida de apetito",Hepatitis
"El paciente tiene la piel y ojos amarillos, fatiga extrema y falta de apetito",Hepatitis
"El paciente muestra signos de ictericia, fatiga y pérdida de apetito",Hepatitis
"Tos crónica, dificultad para respirar y expectoración excesiva",EPOC
"El paciente presenta tos persistente, dificultad para respirar y mucosidad excesiva",EPOC
"El paciente tiene tos crónica, dificultad respiratoria y excesiva producción de flema",EPOC
"El paciente muestra tos prolongada, dificultad para respirar y expectoración excesiva",EPOC
"Fatiga extrema, pérdida de peso inexplicada y sudores nocturnos",Linfoma
"El paciente presenta cansancio extremo, pérdida de peso sin causa aparente y sudores nocturnos",Linfoma
"El paciente tiene fatiga severa, pérdida de peso inexplicable y sudores nocturnos",Linfoma
"El paciente experimenta cansancio extremo, sudores nocturnos y pérdida de peso inexplicada",Linfoma
"El paciente presenta dolor abdominal en el lado derecho, fiebre y náuseas",Apendicitis
"El paciente tiene dolor en el abdomen inferior derecho, fiebre y náuseas",Apendicitis
"El paciente muestra dolor abdominal en el lado derecho, acompañado de fiebre y náuseas",Apendicitis
"El paciente presenta dolor intenso en el abdomen derecho, fiebre y náuseas",Apendicitis
"Manchas rojas en la piel, fiebre, dolor de garganta y malestar general",Sarampión
"El paciente tiene manchas rojas en la piel, fiebre, dolor de garganta y cansancio",Sarampión
"El paciente presenta fiebre, manchas rojas en la piel, dolor de garganta y malestar general",Sarampión
,Sarampión
"Dificultad para respirar, tos persistente y dolor torácico al respirar profundamente",Neumonía
"El paciente tiene dificultad para respirar, tos prolongada y dolor torácico al respirar",Neumonía
"El paciente presenta dolor en el pecho, tos persistente y dificultad respiratoria",Neumonía
"El paciente muestra dolor torácico, tos crónica y dificultad para respirar",Neumonía
El paciente tiene una erupción en la piel que forma ampollas y dolor muscular generalizado,Herpes zóster
El paciente presenta erupciones en la piel que causan ampollas y dolor generalizado,Herpes zóster
El paciente tiene una erupción cutánea dolorosa con ampollas y malestar general,Herpes zóster
"El paciente muestra una erupción con ampollas en la piel, acompañada de dolor muscular",Herpes zóster
"Falta de apetito, cansancio extremo, color amarillento en la piel y ojos",Cáncer de hígado
"El paciente presenta pérdida de apetito, fatiga y coloración amarillenta en la piel y ojos",Cáncer de hígado
"El paciente tiene una pérdida de apetito, cansancio extremo y síntomas de ictericia",Cáncer de hígado
"El paciente muestra signos de fatiga extrema, pérdida de apetito y color amarillento en la piel y ojos",Cáncer de hígado
"Presencia de manchas rojas y planas en la piel, fiebre y malestar general",Rubéola
"El paciente tiene erupciones rojas y planas en la piel, fiebre y cansancio",Rubéola
"El paciente presenta manchas rojas en la piel, fiebre y dolor general",Rubéola
"El paciente muestra erupciones rojas y fiebre, con un malestar generalizado",Rubéola
"El paciente presenta dificultad para tragar, dolor de garganta y fiebre",Faringitis estreptocócica
"El paciente tiene dolor al tragar, fiebre y molestias en la garganta",Faringitis estreptocócica
"El paciente experimenta dolor de garganta al tragar, fiebre y molestias generales",Faringitis estreptocócica
"El paciente muestra dificultad para tragar, fiebre y dolor de garganta intenso",Faringitis estreptocócica
"Dificultad para respirar, sibilancias y presión en el pecho",Neumonitis intersticial
"El paciente tiene problemas respiratorios, sibilancias y sensación de opresión en el pecho",Neumonitis intersticial
"El paciente presenta dificultades respiratorias, sibilancias y dolor en el pecho",Neumonitis intersticial
"El paciente muestra dificultad para respirar, acompañado de sibilancias y presión en el pecho",Neumonitis intersticial
"Enrojecimiento, hinchazón y dolor en las articulaciones, especialmente en las rodillas y los dedos",Gota
"El paciente presenta inflamación y dolor en las articulaciones, particularmente en las rodillas",Gota
"El paciente tiene enrojecimiento y dolor en las articulaciones, especialmente en los dedos",Gota
"El paciente experimenta dolor e hinchazón en las articulaciones, especialmente en las rodillas",Gota
"El paciente experimenta caídas frecuentes, rigidez muscular y temblores en las manos",Parkinson
"El paciente presenta dificultades para caminar, rigidez muscular y temblores en las manos",Parkinson
"El paciente muestra temblores en las manos, rigidez muscular y caídas frecuentes",Parkinson
"El paciente tiene temblores, rigidez y dificultad para mantener el equilibrio",Parkinson
"Visión borrosa, aumento de sed, y orina frecuente en la noche",Diabetes tipo 1
"El paciente tiene visión borrosa, sed constante y orina frecuentemente durante la noche",Diabetes tipo 1
"El paciente presenta aumento de sed, visión borrosa y necesidad de orinar a menudo por la noche",Diabetes tipo 1
"El paciente muestra visión borrosa, sed excesiva y orina frecuente por la noche",Diabetes tipo 1
